name,value
lesbian,2.46250452285142e-06
bisexual,5.333503235529176e-07
lesbians,5.151180970013467e-07
women,1.5912810388997696e-07
couples,1.0604693798033998e-07
youth,9.501333798425829e-08
politics,7.685229673003964e-08
identity,6.438976212516834e-08
culture,5.227340903709903e-08
identities,4.0387843626897704e-08
witty,-5.833390428200466e-09
spirited,-6.366151081288747e-09
sprightly,-8.816398454673228e-09
lively,-9.24351023878707e-09
noisy,-9.926128302431476e-09
pleasant,-1.1639804100630312e-08
young,-1.179417781940252e-08
cheerful,-1.2474537728938886e-08
hearted,-2.2196855109272994e-08
happy,-3.0897859725012234e-08
